best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model;best_model
AUAC265;AUAC3-4-1;AUACAC24NE;AUACAE25;AUACAH45;AUACAL3900U;AUACALH2;AUACALS4;AUACAN4275;AUACAR10SH;AUACAR200;AUACAR380;AUACAT42;AUACBD1100;AUACBD1522;AUACBD850;AUACBL05;AUACCH1;AUACCRAB02;AUACDG1224;AUACEG250;AUACEG500;AUACEL12;AUACFC350;AUACFC351;AUACFENIX600;AUACFL85265;AUACFX1000;AUACHR42;AUACHULK450;AUACHULK750;AUACHULK950;AUACIN624;AUACKCP200C;AUACKCP300C;AUACKCP301R;AUACKCP350C;AUACKCP400C;AUACKCP491R;AUACKH120K;AUACKH140K;AUACKH55K;AUACKH70K;AUACMN20;AUACOP3090W;AUACOWL504;AUACOWL608;AUACRCBLT3;AUACRIM4Z;AUACRP120;AUACRT2415U;AUACRT3FX;AUACSC901;AUACV515;AUELCR4301;AUELEE16;AUELMC12;AUELMC3;AUELME611;AUELME811;AUELPA42;HEELAG114;HEELAG1420;HEELAG181;HEELAG230;HEELAIRKIT20;HEELBM3514;HEELBV04;HEELBV05;HEELBV06;HEELCA1012D;HEELCA2542D;HEELCA6256;HEELCINPA30410;HEELCINPU30410;HEELCS1425;HEELDH164515;HEELJS750;HEELMS1018;HEELMS1021S;HEELPS350;HEELPW2482;HEELRT1512;HEELSP500;HEELTA1100;HEELTA1500;HEELTA375;HEELTA550;HEELTA750;HEELTS255;HEELXB0220;HEELXB0420;HEELXBEA20;HEELXCB20;HEELXID19;HEELXIW20;HEFUBFCD21;HEFUCBFCD21;HEFUFCS2511;HEFUFDH1320;HEFUFHG18;HEFUFPS25;HEFUFRM13030;MADUDG301-A;MADUDG701;MAEL2G100;MAEL2G10I;MAEL2G13;MAEL2G25;MAEL2G40;MAEL2G65;MAEL2G950;MAELGPW2515;SOELAT2610254M;SOELAT2635504M;SOELCSVM500OP;SOELCSVM750;SOELCSVM760;SOELKITSI7160XP;SOELPES6300;SOELPMS6505;SOELRAFC208;SOELRAFC209;SOELSI6160MDV;SOELSI6200MDV;SOELSI7160XP;SOELSI7175XP;SOELSI7200XP;SOELSI8225AL;SOELSI8300MG;SOELSI9210DT;SOELSI9220MP;SOELSI9250DV;SOELSI9300DV;SOELSIC40DV;SOFUFW121;SOFUFW131M;SOFUFW161M;SOFUFW185;SOFUFW205CEL;SOFUFW255P;SOFUFW257;SOFUFW50;SOFUFW81;SOFUFW83;SOFUFWA4012;SOFUFWA4013;SOSWC1-620;SOSWC1-669;SOSWC6-603;SOSWG1-110;SOSWG1-111;SOSWG1-114;SOSWG2-217;SOSWM1-122;SOSWM2-211;SOSWM2-212;SOSWM2-235;SOSWM2-237;SOSWM2-245;SOSWM2-251;SOSWM2-252;SOSWM2-254;SOSWM2-265;SOSWM2-311;SOSWM3-215;SOSWM3-225;SOSWM3-316;SOSWM3-325;SOSWM3-326;SOSWM3-327;SOSWP1-440;SOSWP2-409;SOSWP2-410;SOSWP2-411;SOSWP2-417;SOSWP2-511;SOSWP2-512;SOSWP2-515;SOSWP2-518;SOSWPMSW02;SOSWSWA2040N;SOSWSWA2650;SOSWSWA3250;SOSWSWC440N;SOSWSWC690;SOSWSWP3060;SOSWSWT2045;SOSWSWW2060N;SOSWSWW2550;SOSWT1-111;SOSWT1-115
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,0;;172,71429204940796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,0;14,0;;30,0;;161,57143449783325;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,0;31,0;;6,0;;;31,0;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,0;15,0;;;;;22,0;30,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,0;;;;;;17,0;;;;;;;;;;;;;;;;55,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8782911896705627;;;;;;;;;;;;;;;;;;;;;;;;;;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,0;;;;31,0;;25,0;;;;;;;;;;;;;;;;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,74234229326248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;44,0;;88,0;;;;;;23,0;;;1,0;;;;;;;;;;;;;;;;;;;;2,0;;15,109400749206543;;;29,0;;11,0;;;;60,0;;;7,0;;;;;;;;;90,0;;;396,7244110107422;;;;;;;;;;;;;;;;;;;;;;;0,0;;;9,0;64,0;70,0;;;;;;;;;;;;;;;;3,503401279449463;35,67567586898804;;;;;3,2630136013031006;;;13,0;2,0;;;;;;;;;;;;;;;;24,94519031047821;;2,0;;;;;;;;;;;;;;;;;;6,322847366333008;;;;;;;;1,8571428060531616;;21,0;;;;;;20,250649452209473;;;;;;;4,091954231262207;100,0;;;;;10,285714149475098;;;;;;;;1,0;;;;;;
